Gender,Race/ethnicity,Parental level of education,Lunch,Test preparation course,Math score,Reading score,Writing score
Male,Group B,Bachelor's degree,Yes,Completed,86,88,91
Female,Group C,Some college,Yes,Completed,68,71,67
Male,Group D,High school,Yes,None,45,42,39
Female,Group C,Some college,No,None,70,71,70
Male,Group D,Some college,Yes,Completed,95,87,90
Male,Group C,High school,Yes,None,59,51,52
Female,Group B,High school,Yes,Completed,72,77,76
Male,Group A,Associate's degree,No,None,63,67,63
Female,Group B,Some high school,Yes,None,53,47,48
Female,Group E,Bachelor's degree,Yes,Completed,88,99,95
Male,Group C,Some college,No,None,62,55,55
Female,Group C,High school,Yes,Completed,59,71,65
Male,Group D,Associate's degree,Yes,Completed,68,78,77
Female,Group D,Some high school,No,None,77,86,86
Male,Group D,High school,Yes,Completed,51,46,48
Female,Group D,Some high school,Yes,None,60,56,56
Male,Group E,Some college,Yes,Completed,80,73,74
Female,Group C,Some high school,No,None,64,60,62
Male,Group C,High school,Yes,None,46,42,41
Female,Group D,Some college,Yes,Completed,87,91,92
Male,Group C,Associate's degree,No,None,81,75,76
Female,Group B,Some college,Yes,None,73,74,70
Male,Group C,Some college,No,None,45,42,40
Female,Group B,Bachelor's degree,Yes,Completed,84,95,95
Male,Group C,Some college,Yes,None,64,65,63
Female,Group C,Some high school,No,Completed,71,80,77
Male,Group C,Some high school,No,None,56,60,54
Female,Group C,Some college,Yes,Completed,68,78,74
Male,Group D,Associate's degree,Yes,None,70,62,60
Female,Group D,High school,No,Completed,65,63,64
Male,Group C,Bachelor's degree,Yes,Completed,79,85,86
Female,Group B,Some college,No,None,59,63,61
Male,Group C,High school,Yes,None,43,47,50
Female,Group C,High school,Yes,Completed,73,83,80
Male,Group D,Some college,Yes,None,50,49,44
Female,Group C,Some high school,Yes,None,61,71,75
Male,Group A,High school,Yes,None,80,70,70
Female,Group D,Bachelor's degree,Yes,Completed,66,68,63
Male,Group C,High school,No,None,62,59,57
Female,Group D,Associate's degree,Yes,Completed,78,87,88
Male,Group D,Some high school,No,None,48,44,42
Female,Group B,Bachelor's degree,Yes,Completed,62,69,69
Male,Group C,Some college,Yes,None,76,75,74
Female,Group C,Some high school,Yes,None,73,78,74
Male,Group C,Some college,Yes,Completed,71,75,74
Female,Group C,Associate's degree,No,None,58,62,60
Male,Group C,Some high school,Yes,Completed,56,53,52
Female,Group C,Some college,No,None,48,47,40
Male,Group D,High school,No,None,69,64,65
Female,Group C,Some high school,Yes,None,75,72,70
Male,Group D,Some high school,Yes,Completed,87,80,78
Female,Group D,Some college,Yes,None,62,68,69
Male,Group E,Bachelor's degree,Yes,Completed,70,73,72
Female,Group B,Some high school,No,None,54,54,52
Male,Group C,High school,Yes,None,73,68,64
Female,Group C,High school,No,None,60,66,66
Male,Group D,Some high school,No,None,51,47,44
Female,Group D,Some college,Yes,Completed,75,85,87
Male,Group D,Some high school,No,None,63,62,56
Female,Group B,High school,Yes,None,59,64,67
Male,Group C,Some high school,No,None,81,75,73
Female,Group C,Some college,Yes,None,64,68,65
Male,Group C,High school,Yes,Completed,77,79,74
Female,Group C,Associate's degree,Yes,Completed,77,80,80
Male,Group B,Some college,Yes,None,55,49,51
Female,Group D,Some college,No,None,68,68,71
Male,Group E,High school,Yes,None,91,89,89
Female,Group D,Bachelor's degree,Yes,Completed,90,100,100
Male,Group D,Some college,No,None,51,52,49
Female,Group C,High school,Yes,None,61,58,58
Male,Group D,Bachelor's degree,Yes,None,57,57,52
Female,Group D,Some high school,Yes,Completed,69,75,76
Male,Group B,Associate's degree,Yes,None,78,84,85
Female,Group C,Some college,No,None,46,52,48
Male,Group E,High school,Yes,None,62,56,56
Female,Group D,Some college,Yes,None,59,61,61
Male,Group C,Associate's degree,No,Completed,73,75,74
Female,Group B,High school,Yes,None,62,67,64
Male,Group C,Some high school,No,None,54,52,48
Female,Group C,Some college,Yes,Completed,88,93,93
Male,Group C,Some college,Yes,Completed,85,81,82
Female,Group E,Some college,Yes,None,67,68,71
Male,Group D,High school,Yes,None,47,42,38
Female,Group C,Associate's degree,No,Completed,84,92,93
Male,Group E,Some high school,Yes,None,76,72,70
Female,Group D,Bachelor's degree,Yes,Completed,76,81,79
Male,Group B,Some college,Yes,Completed,74,70,70
Female,Group E,Some college,No,None,62,68,67
Male,Group E,High school,Yes,None,58,52,50
Female,Group C,High school,Yes,Completed,87,95,97
Male,Group C,Associate's degree,Yes,None,51,48,45
Female,Group C,Some high school,Yes,Completed,75,72,71
Male,Group E,High school,Yes,None,43,38,35
Female,Group D,Some college,Yes,None,73,77,77
Male,Group B,Some college,No,None,64,57,54
Female,Group C,Some high school,Yes,None,70,72,71
Male,Group C,High school,Yes,None,52,47,44
Female,Group D,Some college,No,Completed,95,100,100
Male,Group D,High school,No,None,53,50,51
Female,Group B,Associate's degree,Yes,Completed,91,93,91
Male,Group C,Some college,No,Completed,85,81,79
Female,Group D,Bachelor's degree,Yes,Completed,84,89,88
Male,Group E,Some college,Yes,Completed,70,68,67
Female,Group D,Associate's degree,Yes,None,47,46,41
Male,Group B,High school,Yes,None,59,49,47
Female,Group C,Some high school,Yes,Completed,70,75,74
Male,Group E,High school,Yes,None,57,48,47
Female,Group E,Some college,Yes,Completed,75,82,82
Male,Group D,Some high school,Yes,None,53,54,52
Female,Group C,Some college,Yes,Completed,84,80,80
Male,Group D,Associate's degree,Yes,Completed,81,81,78
Female,Group C,High school,No,Completed,59,68,63
Male,Group B,Some college,Yes,Completed,75,68,68
Female,Group E,Some college,No,None,77,85,83
Male,Group C,High school,Yes,Completed,64,61,59
Female,Group C,Associate's degree,Yes,None,67,71,72
Male,Group E,Some college,Yes,Completed,58,65,63
Female,Group D,Some college,No,None,62,65,61
Male,Group C,Some high school,Yes,None,67,70,68
Female,Group B,Bachelor's degree,No,Completed,92,94,93
Male,Group C,High school,Yes,None,63,58,58
Female,Group D,High school,Yes,None,54,59,52
